,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,その他
2020-02-24,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,32.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,
2020-02-25,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,32.0,18.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,2.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-02-26,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,35.0,19.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,25.0,1.0,0.0,2.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-02-27,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,36.0,22.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,27.0,1.0,0.0,2.0,2.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-02-28,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,36.0,24.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,28.0,1.0,0.0,2.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-02-29,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,37.0,24.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,29.0,1.0,0.0,2.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-03-01,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,39.0,27.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,32.0,1.0,0.0,2.0,4.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-03-02,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,39.0,31.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,32.0,1.0,0.0,2.0,6.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,
2020-03-03,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,40.0,31.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,36.0,1.0,0.0,3.0,8.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,
2020-03-04,82.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,18.0,44.0,31.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,42.0,1.0,0.0,5.0,17.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-05,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,18.0,52.0,33.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,52.0,1.0,1.0,6.0,18.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-06,90.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,20.0,58.0,41.0,5.0,0.0,6.0,0.0,1.0,3.0,2.0,1.0,62.0,1.0,1.0,7.0,31.0,8.0,4.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-07,98.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,6.0,24.0,64.0,41.0,6.0,0.0,6.0,0.0,2.0,3.0,2.0,1.0,69.0,1.0,1.0,8.0,41.0,10.0,4.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,10.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-08,101.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,24.0,64.0,41.0,6.0,0.0,6.0,0.0,2.0,3.0,2.0,1.0,80.0,1.0,1.0,8.0,55.0,12.0,4.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-09,108.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,25.0,64.0,41.0,8.0,0.0,7.0,0.0,2.0,3.0,2.0,1.0,86.0,1.0,1.0,12.0,55.0,15.0,6.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-10,111.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,9.0,26.0,67.0,43.0,8.0,0.0,7.0,0.0,2.0,3.0,2.0,2.0,99.0,2.0,1.0,13.0,73.0,23.0,7.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-11,118.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,14.0,28.0,73.0,45.0,11.0,0.0,7.0,0.0,2.0,3.0,2.0,2.0,104.0,2.0,1.0,15.0,80.0,35.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-12,128.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,18.0,27.0,81.0,43.0,14.0,0.0,7.0,0.0,2.0,3.0,2.0,3.0,111.0,7.0,1.0,17.0,90.0,43.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-13,136.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,21.0,29.0,83.0,46.0,14.0,0.0,7.0,0.0,2.0,3.0,2.0,3.0,114.0,7.0,1.0,17.0,93.0,56.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,0.0,6.0,1.0,1.0,0.0,3.0,
2020-03-14,142.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,29.0,31.0,93.0,49.0,14.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,121.0,8.0,1.0,17.0,103.0,60.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,3.0,
2020-03-15,148.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,28.0,31.0,96.0,54.0,14.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,121.0,8.0,2.0,17.0,107.0,62.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,3.0,
2020-03-16,152.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,6.0,28.0,31.0,96.0,54.0,14.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,123.0,8.0,3.0,17.0,109.0,81.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,3.0,
2020-03-17,152.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,10.0,33.0,31.0,108.0,55.0,20.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,125.0,8.0,4.0,19.0,112.0,85.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,12.0,4.0,1.0,1.0,6.0,1.0,3.0,0.0,3.0,
2020-03-18,154.0,,0.0,1.0,2.0,0.0,2.0,2.0,3.0,10.0,34.0,33.0,117.0,59.0,21.0,0.0,7.0,1.0,2.0,,3.0,3.0,130.0,8.0,4.0,20.0,117.0,90.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,12.0,4.0,1.0,,6.0,1.0,3.0,0.0,3.0,
2020-03-19,157.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,10.0,38.0,36.0,124.0,64.0,21.0,0.0,7.0,1.0,2.0,4.0,3.0,3.0,134.0,9.0,4.0,20.0,119.0,91.0,8.0,16.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,12.0,5.0,1.0,1.0,7.0,3.0,3.0,0.0,3.0,
2020-03-20,158.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,11.0,41.0,41.0,135.0,65.0,21.0,0.0,8.0,1.0,2.0,4.0,3.0,3.0,139.0,9.0,4.0,21.0,123.0,100.0,8.0,17.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,12.0,5.0,1.0,1.0,7.0,8.0,3.0,0.0,3.0,
2020-03-21,159.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,11.0,44.0,42.0,142.0,68.0,26.0,0.0,8.0,1.0,2.0,4.0,3.0,3.0,141.0,9.0,4.0,22.0,125.0,106.0,8.0,17.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,12.0,5.0,1.0,1.0,7.0,13.0,3.0,0.0,3.0,
2020-03-22,162.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,11.0,50.0,44.0,144.0,74.0,26.0,0.0,8.0,1.0,2.0,4.0,5.0,3.0,143.0,9.0,4.0,23.0,131.0,110.0,9.0,17.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,5.0,1.0,1.0,7.0,17.0,3.0,0.0,3.0,
2020-03-23,162.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0,4.0,11.0,51.0,47.0,158.0,75.0,26.0,0.0,8.0,1.0,2.0,4.0,8.0,3.0,145.0,9.0,5.0,24.0,134.0,112.0,9.0,17.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,6.0,1.0,1.0,7.0,17.0,3.0,0.0,3.0,
2020-03-24,163.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0,6.0,13.0,58.0,48.0,172.0,80.0,28.0,0.0,8.0,1.0,4.0,5.0,12.0,3.0,148.0,9.0,5.0,26.0,142.0,115.0,9.0,17.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,9.0,1.0,1.0,7.0,18.0,3.0,0.0,4.0,
2020-03-25,167.0,8.0,0.0,1.0,2.0,0.0,2.0,9.0,7.0,13.0,59.0,53.0,218.0,84.0,29.0,0.0,8.0,2.0,4.0,5.0,13.0,3.0,154.0,9.0,5.0,30.0,150.0,116.0,9.0,17.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,3.0,12.0,9.0,1.0,2.0,7.0,25.0,3.0,0.0,4.0,
2020-03-26,168.0,6.0,0.0,2.0,2.0,0.0,2.0,10.0,10.0,14.0,66.0,56.0,265.0,89.0,29.0,0.0,8.0,6.0,4.0,5.0,16.0,3.0,157.0,9.0,6.0,32.0,157.0,118.0,9.0,17.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,3.0,12.0,11.0,1.0,2.0,8.0,25.0,3.0,1.0,4.0,
2020-03-27,169.0,6.0,0.0,2.0,4.0,0.0,2.0,11.0,11.0,14.0,72.0,62.0,305.0,95.0,29.0,0.0,8.0,9.0,4.0,6.0,16.0,3.0,160.0,9.0,6.0,34.0,177.0,122.0,9.0,17.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,4.0,13.0,12.0,1.0,2.0,10.0,25.0,3.0,1.0,6.0,
